tract_id,amenity_count_total,amenity_count_food_drink,amenity_count_retail,amenity_count_services,amenity_count_office,amenity_count_hotel,amenity_count_entertainment,amenity_count_education,amenity_count_healthcare,amenity_ratio_food_drink,amenity_ratio_retail,amenity_ratio_services,amenity_ratio_office,amenity_ratio_hotel,amenity_ratio_entertainment,amenity_ratio_education,amenity_ratio_healthcare,amenity_density
1028700,32,16,4,7,1,0,2,0,2,0.5,0.125,0.2188,0.0312,0.0,0.0625,0.0,0.0625,40.74
1029100,13,2,3,2,0,0,3,2,1,0.1538,0.2308,0.1538,0.0,0.0,0.2308,0.1538,0.0769,16.55
1029300,12,5,3,1,0,0,0,3,0,0.4167,0.25,0.0833,0.0,0.0,0.0,0.25,0.0,15.28
1029500,9,2,2,1,0,0,1,2,1,0.2222,0.2222,0.1111,0.0,0.0,0.1111,0.2222,0.1111,11.46
1029700,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27
1029900,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27
1030300,13,7,3,0,1,0,0,2,0,0.5385,0.2308,0.0,0.0769,0.0,0.0,0.1538,0.0,16.55
1030700,7,2,3,1,0,0,1,0,0,0.2857,0.4286,0.1429,0.0,0.0,0.1429,0.0,0.0,8.91
1030900,27,9,7,1,0,0,3,4,3,0.3333,0.2593,0.037,0.0,0.0,0.1111,0.1481,0.1111,34.38
1031100,30,9,10,3,2,2,0,0,4,0.3,0.3333,0.1,0.0667,0.0667,0.0,0.0,0.1333,38.2
1031703,45,29,3,0,4,1,3,2,3,0.6444,0.0667,0.0,0.0889,0.0222,0.0667,0.0444,0.0667,57.3
1031704,25,11,6,2,0,1,3,1,1,0.44,0.24,0.08,0.0,0.04,0.12,0.04,0.04,31.83
1031900,22,13,4,2,1,1,1,0,0,0.5909,0.1818,0.0909,0.0455,0.0455,0.0455,0.0,0.0,28.01
