cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0106_c0066,40.692051,-73.8443988,Residential,51,0.0,0.0,2.1,1934.0,159524.0,70,1.4667,0.0,0.0,0.0
r0106_c0067,40.692051,-73.8426159,Residential,58,44.44,0.0,2.2,1922.0,132821.0,90,1.2519,0.0,0.0,0.0
r0106_c0068,40.692051,-73.840833,Residential,76,0.0,0.0,2.1,1926.0,128611.0,98,0.7455,0.0,0.0,0.0
r0106_c0069,40.692051,-73.8390501,Residential,66,177.78,0.0,2.2,1918.0,111632.0,87,1.0103,0.0,0.0,0.0
r0106_c0070,40.692051,-73.8372672,Residential,57,311.11,0.0,2.1,1922.0,105408.0,67,1.5751,0.0,177.78,0.25
r0106_c0071,40.692051,-73.8354842,Mixed-Use,41,266.67,0.0,2.0,1929.0,124984.0,53,2.1888,0.0,133.33,0.0
r0106_c0072,40.692051,-73.8337013,Residential,36,622.22,0.0714,2.1,1932.0,82645.0,51,1.6801,0.0,266.67,0.1667
r0106_c0073,40.692051,-73.8319184,Residential,65,0.0,0.0,2.5,1930.0,166976.0,87,1.3235,0.0,0.0,0.0
r0106_c0074,40.692051,-73.8301355,Residential,70,88.89,0.0,2.3,1921.0,119497.0,94,0.6895,0.0,44.44,0.0
r0106_c0075,40.692051,-73.8283526,Residential,43,0.0,0.0,2.6,1935.0,104343.0,59,1.5035,0.0,0.0,0.0
r0106_c0076,40.692051,-73.8265697,Residential,37,0.0,0.0,2.5,1932.0,90729.0,60,0.7619,0.0,0.0,0.0
r0106_c0077,40.692051,-73.8247868,Residential,54,0.0,0.0,2.4,1930.0,145677.0,85,0.8742,0.0,0.0,0.0
r0106_c0078,40.692051,-73.8230039,Residential,43,0.0,0.0,2.5,1917.0,89059.0,72,0.6392,0.0,0.0,0.0
r0106_c0079,40.692051,-73.8212209,Residential,66,133.33,0.3333,2.3,1926.0,140389.0,99,1.4488,0.0,44.44,0.0
r0106_c0080,40.692051,-73.819438,Residential,58,177.78,0.25,2.3,1928.0,139817.0,83,1.7459,0.0,88.89,0.0
r0106_c0081,40.692051,-73.8176551,Residential,63,133.33,0.6667,2.3,1930.0,122725.0,99,1.2288,0.0,44.44,0.0
r0106_c0082,40.692051,-73.8158722,Residential,64,88.89,0.0,2.3,1923.0,112007.0,104,1.0617,0.0,0.0,0.0
r0106_c0083,40.692051,-73.8140893,Residential,68,0.0,0.0,2.3,1919.0,97692.0,116,0.5018,0.0,0.0,0.0
r0106_c0084,40.692051,-73.8123064,Residential,67,533.33,0.5,2.3,1932.0,133055.0,100,1.4217,0.0,222.22,0.0
r0106_c0085,40.692051,-73.8105235,Residential,24,133.33,0.0,2.2,1940.0,52710.0,28,2.2327,0.0,88.89,0.5
r0106_c0086,40.692051,-73.8087406,Residential,54,177.78,0.25,2.1,1935.0,125365.0,67,1.1476,44.44,44.44,0.0
r0106_c0087,40.692051,-73.8069576,Residential,60,88.89,0.0,2.4,1941.0,112385.0,68,0.8146,0.0,0.0,0.0
