cell_id,cell_lat,cell_lon,zone_type,cell_building_count,amenity_density,amenity_ratio_food_drink,avg_height,avg_floors,avg_construction_year,building_count,residential_ratio,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0016_c0565,48.1415238,2.6095768,residential,24,0.0,0.0,3.3,1.2,1927.0,41,0.39,2.0361,0.0,0.0,0.0
r0016_c0566,48.1415238,2.6116287,residential,4,88.89,0.0,3.7,1.2,2013.0,6,0.5,1.4591,0.0,0.0,0.0
r0016_c0606,48.1415238,2.6937063,residential,8,0.0,0.0,4.8,1.4,1931.0,10,0.5,2.0464,0.0,0.0,0.0
r0016_c0607,48.1415238,2.6957582,residential,25,0.0,0.0,3.9,1.3,1979.0,27,0.926,0.6053,0.0,0.0,0.0
r0016_c0608,48.1415238,2.6978101,residential,29,0.0,0.0,4.7,1.1,1961.0,32,0.875,0.645,0.0,0.0,0.0
r0016_c0662,48.1415238,2.8086148,residential,8,88.89,0.0,4.0,1.2,1828.0,19,0.421,1.5294,88.89,0.0,0.0
r0016_c0681,48.1415238,2.8476017,residential,4,0.0,0.0,3.5,1.0,1942.0,12,0.333,1.4591,0.0,0.0,0.0
r0017_c0496,48.1428752,2.467993,industrial,9,0.0,0.0,3.6,1.0,,9,0.0,-0.0,0.0,0.0,0.0
r0017_c0497,48.1428752,2.4700449,residential,16,0.0,0.0,4.7,1.3,1891.0,25,0.44,2.0173,0.0,0.0,0.0
r0017_c0498,48.1428752,2.4720969,residential,5,0.0,0.0,4.1,1.3,1972.0,6,0.667,1.2516,0.0,0.0,0.0
r0017_c0499,48.1428752,2.4741488,residential,13,0.0,0.0,4.4,1.4,1980.0,14,0.929,0.3712,0.0,0.0,0.0
r0017_c0500,48.1428752,2.4762007,residential,7,0.0,0.0,4.4,1.5,1955.0,8,0.875,0.5436,0.0,0.0,0.0
r0017_c0506,48.1428752,2.4885124,residential,13,0.0,0.0,3.6,1.1,1910.0,31,0.323,1.4877,0.0,0.0,0.0
r0017_c0510,48.1428752,2.4967201,residential,9,0.0,0.0,3.4,1.1,1937.0,16,0.5,1.5306,0.0,0.0,0.0
r0017_c0564,48.1428752,2.6075248,residential,7,0.0,0.0,3.9,1.3,1972.0,13,0.462,1.7381,0.0,0.0,0.0
r0017_c0565,48.1428752,2.6095768,commercial,29,44.44,0.0,3.1,1.1,1893.0,42,0.238,1.9216,0.0,0.0,0.0
r0017_c0566,48.1428752,2.6116287,residential,4,88.89,0.0,3.7,1.1,1964.0,8,0.375,1.9056,0.0,0.0,0.0
r0017_c0606,48.1428752,2.6937063,residential,22,88.89,0.0,4.0,1.3,1997.0,27,0.63,1.6582,0.0,0.0,0.0
r0017_c0607,48.1428752,2.6957582,residential,25,133.33,0.0,4.4,1.3,1986.0,29,0.862,1.2635,0.0,0.0,0.0
r0017_c0608,48.1428752,2.6978101,residential,30,0.0,0.0,4.1,1.1,1972.0,45,0.667,0.9183,0.0,0.0,0.0
r0017_c0609,48.1428752,2.6998621,residential,13,0.0,0.0,3.8,1.1,1973.0,15,0.8,0.9056,0.0,0.0,0.0
r0017_c0610,48.1428752,2.701914,residential,5,0.0,0.0,4.9,1.2,1891.0,5,0.4,1.5219,0.0,0.0,0.0
r0017_c0618,48.1428752,2.7183295,residential,6,44.44,0.0,3.9,1.2,1975.0,19,0.158,1.8938,0.0,0.0,0.0
r0017_c0662,48.1428752,2.8086148,residential,4,0.0,0.0,4.0,1.2,1972.0,7,0.571,1.3788,0.0,0.0,0.0
