cell_id,cell_lat,cell_lon,zone_type,cell_building_count
r0046_c0656,48.1820644,2.7963032,residential,7
r0046_c0657,48.1820644,2.7983551,residential,9
r0046_c0669,48.1820644,2.8229784,residential,8
r0046_c0687,48.1820644,2.8599133,residential,9
r0046_c0689,48.1820644,2.8640172,residential,15
r0046_c0690,48.1820644,2.8660691,residential,5
r0046_c0694,48.1820644,2.8742769,residential,16
r0046_c0695,48.1820644,2.8763288,commercial,4
r0046_c0703,48.1820644,2.8927443,residential,17
r0046_c0714,48.1820644,2.9153157,residential,3
r0047_c0525,48.1834157,2.5274992,residential,4
r0047_c0526,48.1834157,2.5295511,residential,4
r0047_c0576,48.1834157,2.6321481,residential,13
r0047_c0598,48.1834157,2.6772907,residential,3
r0047_c0599,48.1834157,2.6793427,residential,10
r0047_c0611,48.1834157,2.703966,residential,10
r0047_c0618,48.1834157,2.7183295,industrial,12
r0047_c0619,48.1834157,2.7203815,industrial,5
r0047_c0623,48.1834157,2.7285892,residential,13
r0047_c0624,48.1834157,2.7306412,residential,67
r0047_c0625,48.1834157,2.7326931,residential,57
r0047_c0626,48.1834157,2.734745,commercial,68
r0047_c0627,48.1834157,2.736797,residential,42
r0047_c0628,48.1834157,2.7388489,residential,3
r0047_c0629,48.1834157,2.7409009,residential,3
r0047_c0630,48.1834157,2.7429528,commercial,4
r0047_c0668,48.1834157,2.8209265,residential,6
r0047_c0669,48.1834157,2.8229784,residential,6
r0047_c0687,48.1834157,2.8599133,residential,17
r0047_c0688,48.1834157,2.8619653,residential,14
r0047_c0689,48.1834157,2.8640172,residential,6
r0047_c0690,48.1834157,2.8660691,residential,7
r0047_c0691,48.1834157,2.8681211,residential,11
r0047_c0694,48.1834157,2.8742769,residential,18
r0047_c0695,48.1834157,2.8763288,residential,3
r0047_c0703,48.1834157,2.8927443,residential,14
r0047_c0704,48.1834157,2.8947963,residential,3
r0047_c0713,48.1834157,2.9132637,residential,8
r0047_c0714,48.1834157,2.9153157,residential,6
r0048_c0523,48.1847671,2.5233953,industrial,4
