city,cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
NYC,r0021_c0022,40.7153053,-74.0065396,Mixed-Use,21,2888.89,0.1538,5.8,1905,754544.0,29.0,1.5834,311.11,88.89,21.89,88.89,44.44,44.44
NYC,r0021_c0023,40.7153053,-74.0047552,Commercial,8,977.78,0.0909,18.0,1921,2799128.0,10.0,0.6993,44.44,177.78,0.0,177.78,44.44,0.0
NYC,r0021_c0024,40.7153053,-74.0029708,Commercial,3,7466.67,0.006,45.0,1968,1653794.0,1.0,0.6723,0.0,177.78,6.74,44.44,88.89,0.0
NYC,r0021_c0026,40.7153053,-73.9994021,Open Space,32,10088.89,0.0969,5.1,1921,279814.0,30.0,1.4059,622.22,0.0,0.0,0.0,133.33,0.0
NYC,r0021_c0027,40.7153053,-73.9976177,Mixed-Use,51,5822.22,0.2595,5.0,1915,844660.0,67.0,1.1848,1466.67,44.44,0.0,88.89,133.33,0.0
NYC,r0021_c0029,40.7153053,-73.9940489,Mixed-Use,32,1511.11,0.1176,4.8,1913,211693.0,22.0,1.6353,88.89,0.0,0.0,0.0,133.33,44.44
NYC,r0021_c0030,40.7153053,-73.9922645,Mixed-Use,54,2177.78,0.3878,5.1,1915,498645.0,54.0,1.5738,977.78,88.89,0.0,133.33,133.33,88.89
NYC,r0021_c0031,40.7153053,-73.9904801,Mixed-Use,49,1466.67,0.303,5.3,1915,603201.0,71.0,1.1063,666.67,0.0,0.0,44.44,44.44,177.78
NYC,r0021_c0032,40.7153053,-73.9886957,Residential,3,2444.44,0.0182,5.2,1926,56483.0,8.0,0.3181,44.44,0.0,0.0,0.0,0.0,0.0
NYC,r0021_c0034,40.7153053,-73.9851269,Residential,5,222.22,0.0,12.0,1940,1077532.0,4.0,0.6076,0.0,0.0,0.0,177.78,44.44,0.0
NYC,r0021_c0035,40.7153053,-73.9833425,Commercial,6,1288.89,0.1034,9.6,1932,442573.0,6.0,2.1156,44.44,0.0,11.91,44.44,88.89,44.44
NYC,r0021_c0036,40.7153053,-73.9815581,Residential,3,1066.67,0.0833,6.3,1965,516468.0,3.0,0.873,133.33,0.0,0.0,0.0,88.89,0.0
NYC,r0021_c0037,40.7153053,-73.9797737,Residential,4,1244.44,0.0714,6.7,1937,693593.0,4.0,1.3386,133.33,0.0,1.22,222.22,577.78,0.0
NYC,r0022_c0017,40.7166567,-74.0154616,Residential,5,30355.56,0.019,26.6,2003,1793495.0,5.0,0.9094,44.44,44.44,0.0,177.78,311.11,88.89
NYC,r0022_c0018,40.7166567,-74.0136772,Institutional,3,6711.11,0.0,24.0,2001,582804.0,3.0,1.3766,0.0,0.0,7.26,88.89,177.78,0.0
NYC,r0022_c0019,40.7166567,-74.0118928,Institutional,4,5066.67,0.0,16.0,1996,470078.0,3.0,1.0862,177.78,0.0,0.0,44.44,0.0,0.0
NYC,r0022_c0020,40.7166567,-74.0101084,Mixed-Use,38,2977.78,0.1343,5.8,1910,545126.0,32.0,0.9222,311.11,0.0,7.42,44.44,88.89,44.44
NYC,r0022_c0021,40.7166567,-74.008324,Mixed-Use,35,1333.33,0.3333,5.3,1884,666734.0,36.0,1.4801,177.78,0.0,9.46,88.89,133.33,0.0
NYC,r0022_c0022,40.7166567,-74.0065396,Commercial,11,977.78,0.0455,6.9,1900,1305425.0,16.0,1.4092,88.89,0.0,0.0,88.89,133.33,44.44
NYC,r0022_c0023,40.7166567,-74.0047552,Mixed-Use,12,755.56,0.2941,7.7,1920,889511.0,12.0,1.9052,133.33,44.44,0.0,88.89,44.44,0.0
NYC,r0022_c0024,40.7166567,-74.0029708,Mixed-Use,12,844.44,0.0526,12.9,1946,1643867.0,9.0,1.3738,44.44,0.0,0.0,0.0,0.0,0.0
