cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
cell_00018164,29.525417735436974,-95.16766102033216,Residential,14,0.0,0.0,1.0,2006.0,31325,14,-0.0,0.0,0.0,0.0
cell_00018165,29.525417735436974,-95.16610595451972,Residential,18,0.0,0.0,1.0,1992.0,42043,19,-0.0,0.0,0.0,0.0
cell_00018166,29.525417735436974,-95.16455088870724,Residential,21,0.0,0.0,1.0,2000.0,44443,21,-0.0,0.0,0.0,0.0
cell_00018167,29.525417735436974,-95.16299582289476,Institutional,8,44.44,0.0,1.0,2011.0,155885,9,1.0211,0.0,0.0,0.0
cell_00018168,29.525417735436974,-95.16144075708227,Institutional,9,44.44,0.0,1.0,1996.0,197918,11,0.7511,0.0,0.0,0.0
cell_00018169,29.525417735436974,-95.15988569126984,Residential,25,0.0,0.0,1.0,2000.0,54426,25,-0.0,0.0,0.0,0.0
cell_00018170,29.525417735436974,-95.15833062545737,Residential,22,0.0,0.0,1.0,1999.0,48949,22,-0.0,0.0,0.0,0.0
cell_00018171,29.525417735436974,-95.1567755596449,Residential,13,0.0,0.0,1.0,2012.0,26915,13,-0.0,0.0,0.0,0.0
cell_00018172,29.525417735436974,-95.15522049383242,Residential,22,0.0,0.0,1.0,2000.0,49597,22,-0.0,0.0,0.0,0.0
cell_00018173,29.525417735436974,-95.15366542801996,Residential,7,0.0,0.0,1.0,2013.0,15632,7,-0.0,0.0,0.0,0.0
cell_00018189,29.525417735436974,-95.12878437502047,Institutional,3,800.0,0.2222,1.0,,314319,7,0.6333,0.0,266.67,0.3333
cell_00018192,29.525417735436974,-95.12411917758304,Institutional,3,266.67,0.1667,1.0,,265769,13,0.1494,44.44,44.44,0.0
cell_00018195,29.525417735436974,-95.11945398014566,Institutional,4,44.44,0.0,1.0,,215402,9,0.9508,0.0,0.0,0.0
cell_00018207,29.525417735436974,-95.10079319039605,Residential,18,0.0,0.0,1.0,2024.0,69906,18,-0.0,0.0,0.0,0.0
cell_00018208,29.525417735436974,-95.09923812458356,Institutional,18,0.0,0.0,1.0,,49658,18,1.1126,0.0,0.0,0.0
cell_00018209,29.525417735436974,-95.09768305877112,Residential,18,0.0,0.0,1.0,2023.0,60631,18,-0.0,0.0,0.0,0.0
cell_00018210,29.525417735436974,-95.09612799295864,Residential,13,0.0,0.0,1.0,,51026,13,-0.0,0.0,0.0,0.0
cell_00018831,29.526766717845856,-95.18632181008178,Residential,6,0.0,0.0,1.0,2000.0,20873,6,0.661,0.0,0.0,0.0
cell_00018832,29.526766717845856,-95.18476674426933,Residential,22,0.0,0.0,1.0,1988.0,51839,22,-0.0,0.0,0.0,0.0
cell_00018833,29.526766717845856,-95.18321167845684,Residential,17,0.0,0.0,1.0,1987.0,34150,17,-0.0,0.0,0.0,0.0
