cell_id,amenity_density,amenity_ratio_food_drink
r0104_c0082,0.0,0.0
r0104_c0083,0.0,0.0
r0104_c0084,0.0,0.0
r0104_c0085,0.0,0.0
r0104_c0086,0.0,0.0
r0104_c0087,177.78,0.0
r0104_c0088,266.67,0.0
r0104_c0089,88.89,0.0
r0104_c0090,0.0,0.0
r0104_c0091,0.0,0.0
r0104_c0092,0.0,0.0
r0104_c0093,0.0,0.0
r0104_c0094,0.0,0.0
r0104_c0095,0.0,0.0
r0104_c0096,0.0,0.0
r0104_c0097,0.0,0.0
r0104_c0098,133.33,0.0
r0104_c0111,533.33,0.0
r0104_c0112,0.0,0.0
r0104_c0113,0.0,0.0
r0104_c0114,44.44,0.0
r0104_c0115,88.89,0.0
r0104_c0116,0.0,0.0
r0104_c0117,88.89,0.0
r0104_c0118,44.44,0.0
r0104_c0119,88.89,0.0
r0104_c0120,0.0,0.0
r0104_c0121,44.44,0.0
r0104_c0122,0.0,0.0
r0104_c0123,0.0,0.0
r0104_c0124,0.0,0.0
r0104_c0125,44.44,0.0
r0104_c0126,0.0,0.0
r0104_c0127,0.0,0.0
r0104_c0128,0.0,0.0
r0104_c0129,0.0,0.0
r0104_c0130,222.22,0.4
r0104_c0131,0.0,0.0
r0104_c0132,0.0,0.0
r0104_c0133,0.0,0.0
r0104_c0134,0.0,0.0
r0104_c0135,44.44,0.0
r0104_c0136,0.0,0.0
r0104_c0137,0.0,0.0
r0104_c0138,0.0,0.0
r0104_c0139,0.0,0.0
r0104_c0140,0.0,0.0
r0104_c0141,0.0,0.0
r0105_c0076,311.11,0.2857
r0105_c0077,0.0,0.0
r0105_c0078,0.0,0.0
r0105_c0079,0.0,0.0
r0105_c0080,0.0,0.0
r0105_c0081,0.0,0.0
r0105_c0082,0.0,0.0
r0105_c0083,0.0,0.0
r0105_c0084,0.0,0.0
r0105_c0085,0.0,0.0
r0105_c0086,0.0,0.0
r0105_c0087,88.89,0.5
r0105_c0088,44.44,0.0
r0105_c0089,44.44,0.0
r0105_c0090,0.0,0.0
r0105_c0091,0.0,0.0
r0105_c0092,0.0,0.0
r0105_c0093,0.0,0.0
r0105_c0094,0.0,0.0
r0105_c0095,0.0,0.0
r0105_c0096,0.0,0.0
r0105_c0097,88.89,0.0
r0105_c0111,133.33,0.0
r0105_c0112,0.0,0.0
r0105_c0113,0.0,0.0
r0105_c0114,0.0,0.0
r0105_c0115,0.0,0.0
r0105_c0116,0.0,0.0
r0105_c0117,0.0,0.0
r0105_c0118,0.0,0.0
r0105_c0119,222.22,0.4
r0105_c0120,0.0,0.0
r0105_c0121,0.0,0.0
r0105_c0122,0.0,0.0
r0105_c0123,0.0,0.0
r0105_c0124,0.0,0.0
r0105_c0126,222.22,0.0
r0105_c0127,0.0,0.0
r0105_c0128,0.0,0.0
r0105_c0129,0.0,0.0
r0105_c0130,266.67,0.0
r0105_c0131,0.0,0.0
r0105_c0132,0.0,0.0
r0105_c0133,0.0,0.0
r0105_c0134,0.0,0.0
r0105_c0135,0.0,0.0
r0105_c0136,0.0,0.0
r0105_c0137,177.78,0.0
r0105_c0138,88.89,0.0
r0105_c0139,0.0,0.0
r0105_c0140,0.0,0.0
r0105_c0141,311.11,0.0
r0106_c0076,355.56,0.0
r0106_c0077,133.33,0.0
r0106_c0078,133.33,0.3333
r0106_c0079,88.89,0.5
r0106_c0080,311.11,0.2857
r0106_c0081,133.33,1.0
r0106_c0082,355.56,0.375
r0106_c0083,88.89,0.5
r0106_c0084,222.22,0.2
r0106_c0085,133.33,0.3333
r0106_c0086,177.78,0.0
r0106_c0087,266.67,0.1667
r0106_c0088,311.11,0.0
r0106_c0089,133.33,0.0
r0106_c0090,0.0,0.0
r0106_c0091,44.44,0.0
r0106_c0092,0.0,0.0
r0106_c0093,0.0,0.0
r0106_c0094,0.0,0.0
r0106_c0095,0.0,0.0
r0106_c0096,0.0,0.0
r0106_c0097,88.89,0.0
r0106_c0111,400.0,0.0
r0106_c0112,0.0,0.0
r0106_c0113,44.44,1.0
r0106_c0114,133.33,0.0
r0106_c0115,0.0,0.0
r0106_c0116,44.44,1.0
r0106_c0117,0.0,0.0
r0106_c0118,44.44,0.0
r0106_c0119,222.22,0.0
r0106_c0120,44.44,0.0
r0106_c0121,0.0,0.0
r0106_c0122,0.0,0.0
r0106_c0123,0.0,0.0
r0106_c0124,133.33,0.0
r0106_c0126,88.89,0.0
r0106_c0127,0.0,0.0
r0106_c0128,0.0,0.0
r0106_c0129,0.0,0.0
r0106_c0130,222.22,0.0
r0106_c0131,0.0,0.0
r0106_c0132,0.0,0.0
r0106_c0133,0.0,0.0
r0106_c0134,0.0,0.0
r0106_c0135,0.0,0.0
r0106_c0136,0.0,0.0
r0106_c0137,44.44,0.0
r0106_c0138,44.44,0.0
r0106_c0139,44.44,0.0
r0106_c0140,400.0,0.0
r0107_c0076,266.67,0.5
r0107_c0077,0.0,0.0
r0107_c0078,0.0,0.0
r0107_c0079,0.0,0.0
r0107_c0080,0.0,0.0
r0107_c0081,0.0,0.0
r0107_c0082,0.0,0.0
r0107_c0083,0.0,0.0
r0107_c0084,0.0,0.0
r0107_c0085,0.0,0.0
r0107_c0086,0.0,0.0
r0107_c0087,0.0,0.0
r0107_c0088,44.44,0.0
r0107_c0089,311.11,0.0
r0107_c0090,133.33,0.3333
r0107_c0091,355.56,0.25
r0107_c0092,88.89,0.0
r0107_c0093,177.78,0.0
r0107_c0094,88.89,0.0
r0107_c0095,44.44,0.0
r0107_c0096,222.22,0.0
r0107_c0097,177.78,0.0
r0107_c0098,88.89,0.5
r0107_c0099,88.89,0.0
r0107_c0100,0.0,0.0
r0107_c0101,222.22,0.0
r0107_c0102,266.67,0.0
r0107_c0103,755.56,0.0
r0107_c0106,488.89,0.0
r0107_c0112,44.44,0.0
r0107_c0113,0.0,0.0
r0107_c0114,222.22,0.0
r0107_c0115,88.89,0.0
r0107_c0116,44.44,1.0
r0107_c0117,88.89,0.0
r0107_c0118,0.0,0.0
r0107_c0119,400.0,0.3333
r0107_c0120,0.0,0.0
r0107_c0121,0.0,0.0
r0107_c0122,44.44,0.0
r0107_c0123,44.44,0.0
r0107_c0124,44.44,0.0
r0107_c0126,133.33,0.0
r0107_c0127,88.89,0.0
r0107_c0128,444.44,0.2
r0107_c0129,400.0,0.1111
r0107_c0130,444.44,0.1
r0107_c0131,0.0,0.0
r0107_c0132,0.0,0.0
r0107_c0133,0.0,0.0
r0107_c0134,0.0,0.0
r0107_c0135,311.11,0.1429
r0107_c0136,266.67,0.3333
r0107_c0137,88.89,0.0
r0107_c0138,44.44,0.0
r0107_c0139,88.89,0.0
r0107_c0140,444.44,0.0
r0108_c0076,133.33,0.0
r0108_c0077,0.0,0.0
r0108_c0078,0.0,0.0
r0108_c0079,0.0,0.0
r0108_c0080,0.0,0.0
r0108_c0081,0.0,0.0
r0108_c0082,133.33,0.0
r0108_c0083,0.0,0.0
r0108_c0084,88.89,0.0
r0108_c0085,0.0,0.0
r0108_c0086,0.0,0.0
r0108_c0087,0.0,0.0
r0108_c0088,0.0,0.0
r0108_c0089,0.0,0.0
r0108_c0090,0.0,0.0
r0108_c0091,44.44,0.0
r0108_c0092,0.0,0.0
r0108_c0093,88.89,0.0
r0108_c0094,44.44,0.0
r0108_c0095,88.89,0.5
r0108_c0096,266.67,0.1667
r0108_c0097,266.67,0.1667
r0108_c0098,177.78,0.25
r0108_c0099,44.44,0.0
r0108_c0100,0.0,0.0
r0108_c0101,0.0,0.0
r0108_c0102,44.44,0.0
r0108_c0103,44.44,0.0
r0108_c0109,533.33,0.0
r0108_c0112,0.0,0.0
r0108_c0113,0.0,0.0
r0108_c0114,133.33,0.0
r0108_c0115,0.0,0.0
r0108_c0116,0.0,0.0
r0108_c0117,0.0,0.0
r0108_c0118,44.44,0.0
r0108_c0119,177.78,0.25
r0108_c0120,0.0,0.0
r0108_c0121,0.0,0.0
r0108_c0122,0.0,0.0
r0108_c0123,0.0,0.0
r0108_c0124,44.44,0.0
r0108_c0126,44.44,0.0
r0108_c0127,0.0,0.0
r0108_c0128,0.0,0.0
r0108_c0129,0.0,0.0
r0108_c0130,177.78,0.25
r0108_c0131,0.0,0.0
r0108_c0132,0.0,0.0
r0108_c0133,0.0,0.0
r0108_c0134,0.0,0.0
r0108_c0135,0.0,0.0
r0108_c0136,0.0,0.0
r0108_c0137,133.33,0.0
r0108_c0138,0.0,0.0
r0108_c0139,0.0,0.0
r0108_c0140,222.22,0.0
r0109_c0076,0.0,0.0
r0109_c0077,0.0,0.0
r0109_c0078,0.0,0.0
r0109_c0079,0.0,0.0
r0109_c0080,44.44,0.0
r0109_c0081,0.0,0.0
r0109_c0082,44.44,0.0
r0109_c0083,0.0,0.0
r0109_c0084,0.0,0.0
r0109_c0085,0.0,0.0
r0109_c0086,0.0,0.0
r0109_c0087,44.44,0.0
r0109_c0088,0.0,0.0
r0109_c0089,0.0,0.0
r0109_c0090,0.0,0.0
r0109_c0091,0.0,0.0
r0109_c0092,44.44,0.0
r0109_c0093,0.0,0.0
r0109_c0094,0.0,0.0
r0109_c0095,0.0,0.0
r0109_c0096,222.22,0.0
r0109_c0097,88.89,0.5
r0109_c0098,133.33,0.0
r0109_c0099,311.11,0.1429
r0109_c0100,88.89,0.5
