cell_id,road_density_primary
r0111_c0120,13.66
r0111_c0121,0.0
r0111_c0122,0.0
r0111_c0123,9.05
r0111_c0124,5.52
r0111_c0126,0.0
r0111_c0127,0.0
r0111_c0128,6.36
r0111_c0129,0.0
r0111_c0130,0.0
r0111_c0131,0.0
r0111_c0132,0.0
r0111_c0133,0.0
r0111_c0134,6.35
r0111_c0135,0.0
r0111_c0136,13.45
r0111_c0137,0.0
r0111_c0138,0.0
r0111_c0139,13.6
r0111_c0140,11.66
r0112_c0093,9.04
r0112_c0094,9.1
r0112_c0095,6.81
r0112_c0096,12.34
r0112_c0097,6.06
r0112_c0098,7.86
r0112_c0099,10.02
r0112_c0100,0.0
r0112_c0101,10.86
r0112_c0102,0.0
r0112_c0103,16.1
r0112_c0104,0.0
r0112_c0105,9.93
r0112_c0106,6.09
r0112_c0107,9.69
r0112_c0108,11.83
r0112_c0109,4.5
r0112_c0110,0.0
r0112_c0111,16.13
r0112_c0112,4.19
r0112_c0113,0.0
r0112_c0114,14.47
r0112_c0115,7.71
r0112_c0116,0.94
r0112_c0117,11.19
r0112_c0118,0.0
r0112_c0119,0.0
r0112_c0120,2.53
r0112_c0121,2.15
r0112_c0122,8.9
r0112_c0123,9.45
r0112_c0124,0.0
r0112_c0126,0.0
r0112_c0127,0.0
r0112_c0128,5.58
r0112_c0129,0.0
r0112_c0130,0.0
r0112_c0131,0.0
r0112_c0132,0.0
r0112_c0133,0.0
r0112_c0134,8.39
r0112_c0135,5.95
r0112_c0136,0.0
r0112_c0137,0.0
r0112_c0138,0.0
r0112_c0139,13.24
r0112_c0140,0.0
r0113_c0103,0.0
r0113_c0104,0.0
r0113_c0105,0.0
r0113_c0106,0.0
r0113_c0107,2.48
r0113_c0108,0.0
r0113_c0109,0.0
r0113_c0110,0.0
r0113_c0111,0.0
r0113_c0112,1.83
r0113_c0113,0.0
r0113_c0114,0.0
r0113_c0115,0.0
r0113_c0116,0.0
r0113_c0117,2.81
r0113_c0118,9.47
r0113_c0119,6.85
r0113_c0120,12.35
r0113_c0121,12.9
r0113_c0122,9.42
r0113_c0123,5.1
r0113_c0124,0.0
r0113_c0127,16.3
r0113_c0128,12.54
r0113_c0130,5.67
r0113_c0131,7.72
r0113_c0135,18.32
r0113_c0136,7.65
r0113_c0137,4.79
r0113_c0138,11.62
r0113_c0139,14.51
r0113_c0140,7.16
r0114_c0103,0.0
r0114_c0104,0.0
r0114_c0106,0.0
r0114_c0107,15.54
r0114_c0108,0.0
r0114_c0109,0.0
r0114_c0110,0.0
r0114_c0111,0.0
r0114_c0112,13.33
r0114_c0113,0.0
r0114_c0114,0.0
r0114_c0115,18.02
r0114_c0116,0.0
r0114_c0117,12.75
r0114_c0118,0.0
r0114_c0119,12.25
r0114_c0120,3.11
r0114_c0121,0.0
r0114_c0122,0.0
r0114_c0123,12.4
r0114_c0124,0.0
r0114_c0127,0.0
r0114_c0128,7.47
r0114_c0131,0.0
r0114_c0132,9.64
r0114_c0135,0.0
r0114_c0136,0.0
r0114_c0137,13.28
r0114_c0138,0.0
r0114_c0139,17.5
r0114_c0140,0.0
r0115_c0103,18.06
r0115_c0104,4.99
r0115_c0105,3.52
r0115_c0106,9.09
r0115_c0107,0.87
r0115_c0108,0.0
r0115_c0109,35.6
r0115_c0110,0.0
r0115_c0113,17.95
r0115_c0114,0.0
r0115_c0115,0.0
r0115_c0116,15.27
r0115_c0117,10.37
r0115_c0118,15.75
r0115_c0119,8.21
r0115_c0120,15.98
r0115_c0121,15.54
r0115_c0122,0.0
r0115_c0123,10.99
r0115_c0124,0.0
r0115_c0125,13.45
r0115_c0126,7.26
r0115_c0127,8.94
r0115_c0128,27.65
r0115_c0129,0.0
r0115_c0130,0.0
r0115_c0133,0.0
r0115_c0136,5.8
r0115_c0137,2.71
r0115_c0138,0.0
r0115_c0139,9.01
r0115_c0140,0.0
r0116_c0103,0.0
r0116_c0104,0.0
r0116_c0105,0.0
r0116_c0106,0.0
r0116_c0107,16.86
r0116_c0108,0.0
r0116_c0109,0.0
r0116_c0110,0.0
r0116_c0112,13.58
r0116_c0113,0.0
r0116_c0114,0.0
r0116_c0115,0.0
r0116_c0116,0.0
r0116_c0117,14.4
r0116_c0118,6.16
r0116_c0119,0.0
r0116_c0120,15.84
r0116_c0121,0.0
r0116_c0122,0.0
r0116_c0123,7.7
r0116_c0124,0.0
r0116_c0125,0.0
r0116_c0126,0.0
r0116_c0127,0.0
r0116_c0128,11.92
r0116_c0129,7.49
r0116_c0130,8.46
r0116_c0132,0.0
r0116_c0133,9.63
r0116_c0134,0.0
r0116_c0136,2.36
r0116_c0138,0.0
r0116_c0139,17.54
r0117_c0103,0.0
r0117_c0104,0.0
r0117_c0105,0.0
r0117_c0106,0.0
r0117_c0107,0.0
