cell_id,intersection_density
r0109_c0140,0.0
r0110_c0076,0.0
r0110_c0077,44.44
r0110_c0078,0.0
r0110_c0079,0.0
r0110_c0080,0.0
r0110_c0081,0.0
r0110_c0082,44.44
r0110_c0083,0.0
r0110_c0084,0.0
r0110_c0085,0.0
r0110_c0086,0.0
r0110_c0087,44.44
r0110_c0088,0.0
r0110_c0089,44.44
r0110_c0090,44.44
r0110_c0091,0.0
r0110_c0092,44.44
r0110_c0093,0.0
r0110_c0094,0.0
r0110_c0095,0.0
r0110_c0096,88.89
r0110_c0097,44.44
r0110_c0098,88.89
r0110_c0099,0.0
r0110_c0100,0.0
r0110_c0101,0.0
r0110_c0102,88.89
r0110_c0103,88.89
r0110_c0104,133.33
r0110_c0105,44.44
r0110_c0106,44.44
r0110_c0108,133.33
r0110_c0109,0.0
r0110_c0110,0.0
r0110_c0111,0.0
r0110_c0112,0.0
r0110_c0113,0.0
r0110_c0114,0.0
r0110_c0115,0.0
r0110_c0116,0.0
r0110_c0117,0.0
r0110_c0120,133.33
r0110_c0121,0.0
r0110_c0122,0.0
r0110_c0123,0.0
r0110_c0124,0.0
r0110_c0126,0.0
r0110_c0127,0.0
r0110_c0128,0.0
r0110_c0129,0.0
r0110_c0130,88.89
r0110_c0131,0.0
r0110_c0132,0.0
r0110_c0133,0.0
r0110_c0134,0.0
r0110_c0135,44.44
r0110_c0136,0.0
r0110_c0137,0.0
r0110_c0138,0.0
r0110_c0139,0.0
r0110_c0140,88.89
r0111_c0077,0.0
r0111_c0078,0.0
r0111_c0079,0.0
r0111_c0080,0.0
r0111_c0081,0.0
r0111_c0082,0.0
r0111_c0083,0.0
r0111_c0084,44.44
r0111_c0085,44.44
r0111_c0086,44.44
r0111_c0087,44.44
r0111_c0088,88.89
r0111_c0089,88.89
r0111_c0090,0.0
r0111_c0091,44.44
r0111_c0092,44.44
r0111_c0093,0.0
r0111_c0094,0.0
r0111_c0095,0.0
r0111_c0096,0.0
r0111_c0097,0.0
r0111_c0098,0.0
r0111_c0099,0.0
r0111_c0100,0.0
r0111_c0101,0.0
r0111_c0102,0.0
r0111_c0103,0.0
r0111_c0104,0.0
r0111_c0105,44.44
r0111_c0106,44.44
r0111_c0107,0.0
r0111_c0108,444.44
r0111_c0109,222.22
r0111_c0110,177.78
r0111_c0111,88.89
r0111_c0112,44.44
r0111_c0113,0.0
r0111_c0114,0.0
r0111_c0115,0.0
r0111_c0116,133.33
r0111_c0118,44.44
r0111_c0120,177.78
r0111_c0121,0.0
r0111_c0122,0.0
r0111_c0123,44.44
r0111_c0124,0.0
r0111_c0126,0.0
r0111_c0127,44.44
r0111_c0128,0.0
r0111_c0129,44.44
r0111_c0130,0.0
r0111_c0131,44.44
r0111_c0132,0.0
r0111_c0133,0.0
r0111_c0134,0.0
r0111_c0135,44.44
r0111_c0136,0.0
r0111_c0137,0.0
r0111_c0138,0.0
r0111_c0139,0.0
r0111_c0140,88.89
r0112_c0093,177.78
r0112_c0094,0.0
r0112_c0095,88.89
r0112_c0096,177.78
r0112_c0097,133.33
r0112_c0098,133.33
r0112_c0099,44.44
r0112_c0100,88.89
r0112_c0101,44.44
r0112_c0102,88.89
r0112_c0103,0.0
r0112_c0104,88.89
r0112_c0105,0.0
r0112_c0106,0.0
r0112_c0107,0.0
r0112_c0108,88.89
r0112_c0109,44.44
r0112_c0110,44.44
r0112_c0111,0.0
r0112_c0112,133.33
r0112_c0113,44.44
r0112_c0114,133.33
r0112_c0115,44.44
r0112_c0116,133.33
r0112_c0117,0.0
r0112_c0118,177.78
r0112_c0119,488.89
r0112_c0120,88.89
r0112_c0121,0.0
r0112_c0122,44.44
r0112_c0123,44.44
r0112_c0124,0.0
r0112_c0126,44.44
r0112_c0127,44.44
r0112_c0128,44.44
r0112_c0129,88.89
r0112_c0130,88.89
r0112_c0131,0.0
r0112_c0132,0.0
r0112_c0133,0.0
r0112_c0134,44.44
r0112_c0135,88.89
r0112_c0136,88.89
r0112_c0137,44.44
r0112_c0138,0.0
r0112_c0139,0.0
r0112_c0140,44.44
r0113_c0103,44.44
r0113_c0104,88.89
r0113_c0105,0.0
r0113_c0106,0.0
r0113_c0107,0.0
r0113_c0108,133.33
r0113_c0109,88.89
r0113_c0110,88.89
r0113_c0111,0.0
r0113_c0112,44.44
r0113_c0113,0.0
r0113_c0114,0.0
r0113_c0115,0.0
r0113_c0116,0.0
r0113_c0117,88.89
r0113_c0118,177.78
r0113_c0119,44.44
r0113_c0120,0.0
r0113_c0121,0.0
r0113_c0122,0.0
r0113_c0123,0.0
r0113_c0124,133.33
r0113_c0127,0.0
r0113_c0128,0.0
r0113_c0130,0.0
r0113_c0131,44.44
r0113_c0135,0.0
r0113_c0136,0.0
r0113_c0137,0.0
r0113_c0138,44.44
r0113_c0139,88.89
r0113_c0140,222.22
r0114_c0103,0.0
r0114_c0104,0.0
r0114_c0106,0.0
r0114_c0107,0.0
r0114_c0108,0.0
r0114_c0109,0.0
r0114_c0110,0.0
r0114_c0111,0.0
r0114_c0112,0.0
r0114_c0113,0.0
r0114_c0114,0.0
r0114_c0115,0.0
r0114_c0116,0.0
r0114_c0117,0.0
r0114_c0118,0.0
r0114_c0119,0.0
r0114_c0120,0.0
r0114_c0121,0.0
r0114_c0122,0.0
r0114_c0123,88.89
r0114_c0124,88.89
r0114_c0127,44.44
r0114_c0128,44.44
r0114_c0131,44.44
r0114_c0132,44.44
r0114_c0135,0.0
r0114_c0136,0.0
r0114_c0137,44.44
r0114_c0138,44.44
r0114_c0139,88.89
r0114_c0140,88.89
r0115_c0103,88.89
r0115_c0104,0.0
r0115_c0105,0.0
r0115_c0106,0.0
r0115_c0107,0.0
r0115_c0108,133.33
r0115_c0109,0.0
r0115_c0110,44.44
r0115_c0113,0.0
r0115_c0114,0.0
r0115_c0115,0.0
r0115_c0116,0.0
r0115_c0117,0.0
r0115_c0118,0.0
r0115_c0119,44.44
r0115_c0120,0.0
r0115_c0121,88.89
r0115_c0122,0.0
r0115_c0123,0.0
r0115_c0124,0.0
r0115_c0125,0.0
r0115_c0126,0.0
r0115_c0127,0.0
r0115_c0128,0.0
r0115_c0129,0.0
r0115_c0130,222.22
r0115_c0133,0.0
r0115_c0136,44.44
r0115_c0137,0.0
r0115_c0138,0.0
r0115_c0139,0.0
r0115_c0140,311.11
r0116_c0103,44.44
r0116_c0104,0.0
r0116_c0105,44.44
r0116_c0106,0.0
r0116_c0107,0.0
r0116_c0108,88.89
r0116_c0109,0.0
r0116_c0110,44.44
r0116_c0112,0.0
r0116_c0113,0.0
r0116_c0114,0.0
r0116_c0115,0.0
r0116_c0116,0.0
r0116_c0117,0.0
r0116_c0118,0.0
r0116_c0119,44.44
r0116_c0120,0.0
r0116_c0121,0.0
r0116_c0122,88.89
r0116_c0123,0.0
r0116_c0124,0.0
r0116_c0125,0.0
r0116_c0126,0.0
r0116_c0127,0.0
r0116_c0128,0.0
r0116_c0129,0.0
r0116_c0130,44.44
r0116_c0132,88.89
r0116_c0133,0.0
r0116_c0134,0.0
r0116_c0136,0.0
r0116_c0138,44.44
r0116_c0139,0.0
r0117_c0103,0.0
r0117_c0104,0.0
r0117_c0105,44.44
