cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0022_c0018,39.9041816,-75.2431068,Residential,8,44.44,0.0,2.0,1965,263976.0,14.0,0.3099,0.0,0.0,11.99,0.0,222.22,0.0
r0022_c0060,39.9041816,-75.1690164,Mixed-Use,4,2622.22,0.0339,,2012,43212.0,3.0,0.2477,0.0,0.0,0.0,44.44,1288.89,88.89
r0022_c0069,39.9041816,-75.1531399,Industrial,3,88.89,0.0,,1960,95452.0,2.0,-0.0,0.0,0.0,0.0,0.0,177.78,0.0
r0023_c0014,39.9055329,-75.250163,Residential,44,622.22,0.0,1.7,1942,42480.0,31.0,0.6448,0.0,0.0,0.0,0.0,133.33,0.0
r0023_c0015,39.9055329,-75.248399,Residential,77,0.0,0.0,1.1,1955,102590.0,80.0,1.3868,0.0,0.0,0.0,0.0,44.44,0.0
r0023_c0016,39.9055329,-75.2466349,Residential,55,0.0,0.0,1.8,1966,67203.0,48.0,1.2629,0.0,0.0,0.0,0.0,133.33,0.0
r0023_c0017,39.9055329,-75.2448708,Residential,77,0.0,0.0,1.7,1962,100251.0,81.0,-0.0,0.0,0.0,22.75,0.0,88.89,0.0
r0023_c0018,39.9055329,-75.2431068,Residential,26,0.0,0.0,2.0,1965,55840.0,41.0,-0.0,0.0,0.0,1.57,0.0,88.89,0.0
r0023_c0019,39.9055329,-75.2413427,Residential,3,222.22,0.0,2.0,1925,3360.0,3.0,-0.0,44.44,0.0,14.9,44.44,0.0,0.0
r0023_c0028,39.9055329,-75.2254662,Industrial,3,400.0,0.0,,1995,21698.0,3.0,0.9413,400.0,0.0,0.0,0.0,88.89,0.0
r0023_c0046,39.9055329,-75.1937132,Industrial,3,266.67,0.1667,,,0.0,2.0,0.1787,44.44,0.0,0.0,0.0,488.89,0.0
r0024_c0014,39.9068843,-75.250163,Residential,52,88.89,0.0,2.0,1929,41472.0,32.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0024_c0015,39.9068843,-75.248399,Residential,27,88.89,0.0,1.7,1958,59460.0,46.0,0.3651,0.0,0.0,0.0,0.0,0.0,0.0
r0024_c0016,39.9068843,-75.2466349,Residential,39,88.89,0.0,1.8,1935,76718.0,30.0,0.0065,0.0,0.0,0.0,0.0,44.44,0.0
r0024_c0017,39.9068843,-75.2448708,Residential,40,0.0,0.0,1.2,1953,39037.0,43.0,1.0,0.0,0.0,2.15,0.0,88.89,0.0
r0024_c0018,39.9068843,-75.2431068,Residential,62,0.0,0.0,1.4,1963,59787.0,55.0,0.5368,0.0,0.0,5.71,0.0,44.44,0.0
r0024_c0019,39.9068843,-75.2413427,Residential,27,44.44,0.0,2.0,1944,52962.0,41.0,-0.0,0.0,0.0,7.03,88.89,88.89,0.0
r0024_c0020,39.9068843,-75.2395787,Residential,20,266.67,0.0,1.4,1964,63050.0,19.0,0.0537,0.0,0.0,9.64,0.0,44.44,0.0
r0024_c0021,39.9068843,-75.2378146,Mixed-Use,10,400.0,0.1111,1.2,1965,8740.0,10.0,0.9771,0.0,0.0,0.0,0.0,222.22,0.0
r0024_c0022,39.9068843,-75.2360506,Residential,23,44.44,0.0,2.0,1965,14840.0,10.0,0.2269,0.0,0.0,8.07,0.0,177.78,0.0
r0024_c0023,39.9068843,-75.2342865,Residential,7,88.89,0.0,1.8,1944,34720.0,21.0,-0.0,0.0,0.0,0.0,0.0,400.0,0.0
r0024_c0027,39.9068843,-75.2272303,Industrial,3,488.89,0.0,,,0.0,2.0,0.0,133.33,0.0,13.48,0.0,266.67,0.0
r0024_c0030,39.9068843,-75.2219381,Industrial,3,266.67,0.0,,2002,16617.0,2.0,-0.0,222.22,0.0,5.3,0.0,355.56,44.44
