cell_id,amenity_density,amenity_ratio_food_drink
r0037_c0036,1111.11,0.12
r0037_c0037,1244.44,0.1429
r0037_c0039,5200.0,0.0
r0038_c0020,1244.44,0.0
r0038_c0021,444.44,0.0
r0038_c0022,222.22,0.2
r0038_c0023,888.89,0.6
r0038_c0024,666.67,0.2667
r0038_c0025,844.44,0.3158
r0038_c0026,1155.56,0.3462
r0038_c0027,577.78,0.2308
r0038_c0028,977.78,0.3182
r0038_c0029,577.78,0.5385
r0038_c0030,1333.33,0.1
r0038_c0031,1200.0,0.2593
r0038_c0032,1111.11,0.52
r0038_c0033,711.11,0.4375
r0038_c0034,533.33,0.1667
r0038_c0035,1688.89,0.3421
r0038_c0036,977.78,0.4091
r0038_c0037,755.56,0.1176
r0038_c0038,800.0,0.0
r0039_c0021,711.11,0.25
r0039_c0022,844.44,0.4211
r0039_c0023,888.89,0.15
r0039_c0024,1600.0,0.1667
r0039_c0025,577.78,0.6154
r0039_c0026,488.89,0.1818
r0039_c0027,577.78,0.0769
r0039_c0028,1600.0,0.1667
r0039_c0029,933.33,0.1905
r0039_c0030,844.44,0.3158
r0039_c0031,2177.78,0.1633
r0039_c0032,844.44,0.4211
r0039_c0033,800.0,0.3889
r0039_c0034,1155.56,0.5
r0039_c0035,1066.67,0.1667
r0039_c0036,977.78,0.1818
r0039_c0037,977.78,0.1818
r0039_c0038,800.0,0.0556
r0040_c0021,1511.11,0.2353
r0040_c0022,1244.44,0.2143
r0040_c0023,1022.22,0.5217
r0040_c0024,444.44,0.1
r0040_c0025,1066.67,0.3333
r0040_c0026,533.33,0.0833
r0040_c0027,444.44,0.2
r0040_c0028,711.11,0.125
r0040_c0029,1155.56,0.3077
r0040_c0030,622.22,0.4286
r0040_c0031,1555.56,0.1429
r0040_c0032,3200.0,0.0972
r0040_c0033,888.89,0.35
r0040_c0034,933.33,0.2857
r0040_c0035,933.33,0.2857
r0040_c0036,2444.44,0.4
r0040_c0037,711.11,0.125
r0040_c0038,622.22,0.2143
r0040_c0039,622.22,0.1429
r0041_c0021,3244.44,0.0548
r0041_c0022,977.78,0.5
r0041_c0023,1600.0,0.3889
r0041_c0024,622.22,0.0714
r0041_c0025,1244.44,0.2857
r0041_c0026,1022.22,0.3913
r0041_c0027,933.33,0.1905
r0041_c0028,533.33,0.25
r0041_c0029,977.78,0.3182
r0041_c0030,1422.22,0.3125
r0041_c0031,1155.56,0.3077
r0041_c0032,3200.0,0.0417
r0041_c0033,2800.0,0.0159
r0041_c0034,577.78,0.4615
r0041_c0035,1911.11,0.5581
r0041_c0036,1733.33,0.3846
r0041_c0037,1466.67,0.2121
r0041_c0038,1422.22,0.2188
r0041_c0039,311.11,0.0
r0041_c0040,488.89,0.1818
r0042_c0022,488.89,0.1818
r0042_c0023,355.56,0.0
r0042_c0024,1600.0,0.2222
r0042_c0025,311.11,0.0
r0042_c0026,1644.44,0.3514
r0042_c0027,44.44,0.0
r0042_c0028,1466.67,0.303
r0042_c0029,844.44,0.1053
r0042_c0030,1377.78,0.1613
r0042_c0031,888.89,0.35
r0042_c0032,2044.44,0.413
r0042_c0033,888.89,0.3
r0042_c0034,800.0,0.3333
r0042_c0035,977.78,0.3636
r0042_c0036,1022.22,0.1304
r0042_c0037,2133.33,0.2917
r0042_c0038,755.56,0.2353
r0042_c0039,577.78,0.3846
r0042_c0040,800.0,0.2222
r0042_c0041,711.11,0.25
r0043_c0022,800.0,0.1667
r0043_c0023,400.0,0.0
r0043_c0024,666.67,0.4667
r0043_c0025,444.44,0.2
r0043_c0026,1511.11,0.2941
r0043_c0027,1155.56,0.3462
r0043_c0028,1022.22,0.087
r0043_c0029,1111.11,0.32
r0043_c0030,1466.67,0.1818
r0043_c0031,1866.67,0.3571
r0043_c0032,1822.22,0.3171
r0043_c0033,2577.78,0.1379
r0043_c0034,1733.33,0.1538
r0043_c0035,1733.33,0.3077
r0043_c0036,1644.44,0.2703
r0043_c0037,1777.78,0.375
r0043_c0038,1955.56,0.2955
r0043_c0039,977.78,0.5
r0043_c0040,2355.56,0.0189
r0043_c0041,2222.22,0.0
r0043_c0042,844.44,0.0
r0044_c0021,844.44,0.0526
r0044_c0022,977.78,0.0
r0044_c0023,577.78,0.2308
r0044_c0024,44.44,0.0
r0044_c0025,666.67,0.6667
r0044_c0026,311.11,0.0
r0044_c0027,1288.89,0.2069
r0044_c0028,444.44,0.1
r0044_c0029,1555.56,0.4857
r0044_c0030,888.89,0.15
r0044_c0031,1511.11,0.2353
r0044_c0032,1466.67,0.0909
r0044_c0033,800.0,0.2778
r0044_c0034,1688.89,0.4474
r0044_c0035,1777.78,0.225
r0044_c0036,1111.11,0.2
r0044_c0037,1822.22,0.122
r0044_c0038,1555.56,0.2286
