cell_id,road_density_primary
r0054_c0035,9.25
r0054_c0036,5.04
r0054_c0038,0.0
r0054_c0039,21.77
r0054_c0040,0.0
r0054_c0041,0.0
r0054_c0042,0.0
r0054_c0043,0.0
r0054_c0044,0.0
r0054_c0045,0.0
r0054_c0046,0.0
r0054_c0047,12.16
r0054_c0048,8.11
r0054_c0049,7.77
r0054_c0053,7.15
r0055_c0026,0.0
r0055_c0027,0.0
r0055_c0028,0.0
r0055_c0029,0.0
r0055_c0030,25.62
r0055_c0031,0.0
r0055_c0032,7.28
r0055_c0033,9.47
r0055_c0034,0.0
r0055_c0035,0.0
r0055_c0038,7.08
r0055_c0039,0.0
r0055_c0040,0.0
r0055_c0041,0.0
r0055_c0042,0.0
r0055_c0043,0.0
r0055_c0044,0.0
r0055_c0045,0.0
r0055_c0046,3.84
r0055_c0047,1.53
r0055_c0048,0.0
r0055_c0049,0.0
r0055_c0051,14.37
r0056_c0027,0.0
r0056_c0028,0.0
r0056_c0029,0.0
r0056_c0030,4.43
r0056_c0031,6.76
r0056_c0032,2.12
r0056_c0033,104.94
r0056_c0034,23.37
r0056_c0035,23.35
r0056_c0036,0.0
r0056_c0037,7.17
r0056_c0038,12.89
r0056_c0039,7.14
r0056_c0040,6.27
r0056_c0041,0.0
r0056_c0042,0.0
r0056_c0043,0.0
r0056_c0044,0.0
r0056_c0045,0.0
r0056_c0046,0.0
r0056_c0047,0.0
r0056_c0048,0.0
r0056_c0049,0.0
r0056_c0050,0.0
r0056_c0051,0.0
r0057_c0027,0.0
r0057_c0028,9.03
r0057_c0029,6.54
r0057_c0030,2.4
r0057_c0031,21.78
r0057_c0032,18.16
r0057_c0033,92.84
r0057_c0034,0.0
r0057_c0035,0.0
r0057_c0036,2.28
r0057_c0037,19.3
r0057_c0038,0.0
r0057_c0039,7.15
r0057_c0040,16.6
r0057_c0041,0.0
r0057_c0042,0.0
r0057_c0043,0.0
r0057_c0044,0.0
r0057_c0045,0.0
r0057_c0046,0.0
r0057_c0047,0.0
r0057_c0048,0.0
r0057_c0049,0.0
r0057_c0050,0.0
r0057_c0052,0.0
r0058_c0028,0.0
r0058_c0029,0.0
r0058_c0030,0.0
r0058_c0031,0.0
r0058_c0032,4.67
r0058_c0033,2.19
r0058_c0034,0.0
r0058_c0035,13.3
r0058_c0036,3.6
r0058_c0037,0.0
r0058_c0038,10.62
r0058_c0039,0.0
r0058_c0040,7.92
r0058_c0042,0.0
r0058_c0043,0.0
r0058_c0044,0.0
r0058_c0045,0.0
r0058_c0046,0.0
r0058_c0047,0.0
r0058_c0048,0.0
r0058_c0049,0.0
r0058_c0050,0.0
r0058_c0051,0.0
r0058_c0052,0.0
r0058_c0053,0.0
r0059_c0028,0.0
r0059_c0029,0.0
r0059_c0030,0.0
r0059_c0031,6.68
r0059_c0032,13.81
r0059_c0033,25.36
r0059_c0034,0.77
r0059_c0035,0.0
r0059_c0036,0.0
r0059_c0037,0.0
r0059_c0042,0.0
r0059_c0043,0.0
