cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0038_c0025,40.7382783,-74.0011864,Mixed-Use,44
r0038_c0026,40.7382783,-73.9994021,Residential,30
r0038_c0027,40.7382783,-73.9976177,Mixed-Use,38
r0038_c0028,40.7382783,-73.9958333,Residential,18
r0038_c0029,40.7382783,-73.9940489,Mixed-Use,41
r0038_c0030,40.7382783,-73.9922645,Commercial,21
r0038_c0031,40.7382783,-73.9904801,Commercial,20
r0038_c0032,40.7382783,-73.9886957,Commercial,28
r0038_c0033,40.7382783,-73.9869113,Residential,21
r0038_c0034,40.7382783,-73.9851269,Open Space,17
r0038_c0035,40.7382783,-73.9833425,Mixed-Use,30
r0038_c0036,40.7382783,-73.9815581,Mixed-Use,24
r0038_c0037,40.7382783,-73.9797737,Residential,5
r0038_c0038,40.7382783,-73.9779893,Institutional,11
r0039_c0021,40.7396296,-74.008324,Mixed-Use,15
r0039_c0022,40.7396296,-74.0065396,Commercial,26
r0039_c0023,40.7396296,-74.0047552,Mixed-Use,13
r0039_c0024,40.7396296,-74.0029708,Mixed-Use,30
r0039_c0025,40.7396296,-74.0011864,Residential,47
r0039_c0026,40.7396296,-73.9994021,Residential,35
r0039_c0027,40.7396296,-73.9976177,Residential,32
r0039_c0028,40.7396296,-73.9958333,Mixed-Use,30
r0039_c0029,40.7396296,-73.9940489,Commercial,14
r0039_c0030,40.7396296,-73.9922645,Commercial,36
r0039_c0031,40.7396296,-73.9904801,Commercial,24
r0039_c0032,40.7396296,-73.9886957,Mixed-Use,46
r0039_c0033,40.7396296,-73.9869113,Mixed-Use,13
r0039_c0034,40.7396296,-73.9851269,Mixed-Use,21
r0039_c0035,40.7396296,-73.9833425,Institutional,13
r0039_c0036,40.7396296,-73.9815581,Residential,40
r0039_c0037,40.7396296,-73.9797737,Mixed-Use,21
r0039_c0038,40.7396296,-73.9779893,Open Space,3
r0040_c0021,40.740981,-74.008324,Commercial,12
r0040_c0022,40.740981,-74.0065396,Commercial,20
r0040_c0023,40.740981,-74.0047552,Mixed-Use,22
r0040_c0024,40.740981,-74.0029708,Commercial,24
r0040_c0025,40.740981,-74.0011864,Mixed-Use,24
r0040_c0026,40.740981,-73.9994021,Mixed-Use,32
r0040_c0027,40.740981,-73.9976177,Mixed-Use,18
r0040_c0028,40.740981,-73.9958333,Commercial,23
