cell_id,nightlife_density
r0031_c0035,44.44
r0031_c0036,88.89
r0031_c0037,44.44
r0031_c0038,177.78
r0031_c0039,0.0
r0032_c0020,0.0
r0032_c0021,0.0
r0032_c0022,44.44
r0032_c0023,88.89
r0032_c0024,44.44
r0032_c0025,533.33
r0032_c0026,266.67
r0032_c0027,88.89
r0032_c0028,0.0
r0032_c0029,44.44
r0032_c0030,44.44
r0032_c0031,0.0
r0032_c0032,133.33
r0032_c0033,266.67
r0032_c0034,0.0
r0032_c0035,0.0
r0032_c0036,266.67
r0032_c0037,88.89
r0033_c0020,0.0
r0033_c0021,0.0
r0033_c0022,88.89
r0033_c0023,88.89
r0033_c0024,44.44
r0033_c0025,177.78
r0033_c0026,44.44
r0033_c0027,0.0
r0033_c0028,0.0
r0033_c0029,0.0
r0033_c0030,0.0
r0033_c0031,44.44
r0033_c0032,133.33
r0033_c0033,44.44
r0033_c0034,222.22
r0033_c0035,133.33
r0034_c0020,0.0
r0034_c0021,0.0
r0034_c0022,88.89
r0034_c0023,44.44
r0034_c0024,177.78
r0034_c0025,44.44
r0034_c0026,0.0
r0034_c0027,88.89
r0034_c0028,0.0
r0034_c0029,44.44
r0034_c0030,0.0
r0034_c0031,0.0
r0034_c0032,88.89
r0034_c0033,88.89
r0034_c0034,133.33
r0034_c0035,0.0
r0034_c0036,0.0
r0035_c0020,0.0
r0035_c0021,0.0
r0035_c0022,44.44
r0035_c0023,0.0
r0035_c0024,311.11
r0035_c0025,88.89
r0035_c0026,44.44
r0035_c0027,0.0
r0035_c0028,0.0
r0035_c0029,44.44
r0035_c0030,44.44
r0035_c0031,44.44
r0035_c0032,177.78
r0035_c0033,0.0
r0035_c0034,0.0
r0035_c0035,0.0
r0035_c0036,0.0
r0035_c0037,0.0
r0036_c0020,0.0
r0036_c0021,88.89
r0036_c0022,88.89
r0036_c0023,0.0
r0036_c0024,0.0
r0036_c0025,44.44
r0036_c0026,0.0
r0036_c0027,0.0
r0036_c0028,44.44
r0036_c0029,0.0
r0036_c0030,88.89
r0036_c0032,133.33
r0036_c0033,88.89
r0036_c0034,44.44
r0036_c0035,0.0
r0036_c0036,0.0
r0036_c0037,0.0
r0037_c0021,0.0
r0037_c0022,0.0
r0037_c0023,0.0
r0037_c0024,0.0
r0037_c0025,0.0
r0037_c0026,0.0
r0037_c0027,0.0
r0037_c0028,0.0
r0037_c0029,0.0
r0037_c0030,44.44
r0037_c0031,88.89
r0037_c0032,44.44
r0037_c0033,0.0
r0037_c0034,88.89
r0037_c0035,0.0
r0037_c0036,0.0
r0037_c0037,0.0
r0037_c0039,0.0
r0038_c0020,0.0
r0038_c0021,0.0
r0038_c0022,0.0
r0038_c0023,0.0
r0038_c0024,133.33
r0038_c0025,0.0
r0038_c0026,44.44
r0038_c0027,0.0
r0038_c0028,0.0
r0038_c0029,88.89
r0038_c0030,0.0
r0038_c0031,44.44
r0038_c0032,0.0
r0038_c0033,0.0
r0038_c0034,44.44
r0038_c0035,266.67
r0038_c0036,88.89
r0038_c0037,0.0
r0038_c0038,0.0
r0039_c0021,44.44
r0039_c0022,0.0
r0039_c0023,44.44
r0039_c0024,88.89
r0039_c0025,133.33
r0039_c0026,0.0
r0039_c0027,0.0
r0039_c0028,0.0
r0039_c0029,0.0
r0039_c0030,44.44
r0039_c0031,133.33
r0039_c0032,0.0
r0039_c0033,44.44
r0039_c0034,88.89
r0039_c0035,88.89
r0039_c0036,44.44
r0039_c0037,0.0
r0039_c0038,0.0
r0040_c0021,311.11
r0040_c0022,44.44
r0040_c0023,0.0
r0040_c0024,44.44
r0040_c0025,0.0
r0040_c0026,0.0
r0040_c0027,0.0
r0040_c0028,0.0
r0040_c0029,44.44
r0040_c0030,88.89
r0040_c0031,0.0
r0040_c0032,0.0
r0040_c0033,0.0
r0040_c0034,44.44
r0040_c0035,44.44
r0040_c0036,133.33
r0040_c0037,0.0
r0040_c0038,44.44
r0040_c0039,0.0
r0041_c0021,88.89
r0041_c0022,133.33
r0041_c0023,44.44
r0041_c0024,88.89
r0041_c0025,133.33
r0041_c0026,44.44
r0041_c0027,88.89
r0041_c0028,0.0
r0041_c0029,44.44
r0041_c0030,88.89
r0041_c0031,0.0
r0041_c0032,44.44
r0041_c0033,0.0
r0041_c0034,44.44
r0041_c0035,177.78
r0041_c0036,88.89
r0041_c0037,0.0
r0041_c0038,88.89
r0041_c0039,44.44
r0041_c0040,0.0
r0042_c0022,0.0
r0042_c0023,0.0
r0042_c0024,88.89
r0042_c0025,44.44
r0042_c0026,0.0
r0042_c0027,0.0
r0042_c0028,88.89
