location,osm_id,lat,lon,distance_m,label,highway_type,lanes,lot_area_sqft,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,com_ratio,res_ratio,median_income
harlem,3545220718,40.8167752,-73.9465861,575.5,personal_care,secondary,4.0,2000.0,19.7,379.8,73.8,168.5,1.0,0.0,
harlem,11980017793,40.8102659,-73.9532009,583.1,food_drink,residential,1.0,11100.0,16.0,86.0,117.1,79.8,0.1183291918116199,0.8816708081883801,
harlem,2767369849,40.8069759,-73.9431751,585.4,food_drink,primary,4.0,11491.0,64.0,179.6,88.7,174.0,0.2154978354978355,0.7845021645021645,
harlem,6511840938,40.8168689,-73.9465164,585.9,food_drink,secondary,4.0,2000.0,17.8,386.5,69.4,161.0,1.0,0.0,
harlem,3545220721,40.8168869,-73.9460483,589.1,food_drink,secondary,4.0,7500.0,26.1,372.9,99.6,178.8,0.1691169838549652,0.8308830161450347,
harlem,2767369853,40.8069514,-73.9431164,590.2,retail,primary,4.0,11491.0,58.4,185.1,90.2,179.0,0.2154978354978355,0.7845021645021645,
harlem,11871273548,40.8072545,-73.942467,590.5,office_professional,residential,1.0,1763.0,67.1,232.2,153.6,185.5,0.0,1.0,
harlem,3545220717,40.8169193,-73.9464788,591.5,finance,secondary,4.0,2000.0,19.9,390.2,67.8,157.2,1.0,0.0,
harlem,5186830447,40.8063573,-73.9478277,593.6,office_professional,residential,,2027.0,88.9,251.8,59.1,46.8,0.1085641515440942,0.8914358484559057,
harlem,4953971785,40.8105082,-73.9395267,599.3,food_drink,secondary,2.0,1497.0,25.0,437.2,249.5,70.6,0.2,0.8,
harlem,670990793,40.8070096,-73.942768,599.3,retail,primary,4.0,25735.0,43.8,211.7,116.9,208.1,0.7959711727728744,0.2040288272271255,
harlem,2768245722,40.8122123,-73.9536193,603.0,personal_care,residential,,7538.0,79.4,144.1,39.7,117.6,0.0677966101694915,0.9322033898305084,
harlem,5186870455,40.8061428,-73.9470016,608.3,retail,secondary,2.0,1520.0,41.9,209.8,117.0,65.2,0.25,0.75,
harlem,271805638,40.8109202,-73.9537464,614.5,health,primary,4.0,13690.0,49.7,0.0,167.1,71.2,1.0,0.0,
harlem,3545220727,40.8150731,-73.9408019,615.7,personal_care,residential,,1665.0,49.2,182.2,189.8,118.9,0.3333333333333333,0.6666666666666666,
harlem,3545220728,40.8150396,-73.9407349,617.8,food_drink,residential,,1869.0,43.1,175.6,193.8,123.7,0.2,0.8,
harlem,271822571,40.8128327,-73.9393357,618.3,leisure_entertainment,residential,,12490.0,186.9,180.0,326.0,107.2,1.0,0.0,
harlem,5187017438,40.8065824,-73.9497363,620.9,hospitality,primary,2.0,3450.0,8.4,339.1,129.1,136.9,1.0,0.0,
harlem,5422783789,40.8100505,-73.9536136,623.0,health,residential,1.0,3051.0,58.2,97.3,134.6,61.4,,,
harlem,10969580738,40.8149755,-73.9405625,624.9,retail,residential,,1869.0,29.2,159.4,205.2,134.4,0.2,0.8,
harlem,2767369865,40.8070723,-73.9420154,629.2,retail,residential,1.0,1771.0,64.4,272.5,175.0,181.5,1.0,0.0,
harlem,11980017801,40.8102327,-73.953768,630.3,leisure_entertainment,residential,1.0,2088.0,62.9,76.5,155.0,85.4,0.7297185857128131,0.2702814142871869,
harlem,8333828583,40.8064714,-73.9498101,634.7,food_drink,primary,2.0,3450.0,15.3,347.6,129.5,144.8,1.0,0.0,
harlem,8014564675,40.8080588,-73.9524756,638.7,food_drink,residential,,5000.0,124.5,162.3,172.7,41.1,0.0668363209262004,0.9331636790737996,
harlem,8333828582,40.8064436,-73.9498479,638.9,food_drink,residential,,3450.0,18.3,346.8,131.3,146.2,1.0,0.0,
harlem,10969605150,40.8150983,-73.94047,639.4,food_drink,secondary,2.0,1244.0,23.4,158.5,198.7,124.4,0.2,0.8,
harlem,5266905521,40.8058627,-73.9472248,640.9,food_drink,residential,,1600.0,20.6,245.1,99.4,87.7,0.1,0.9,
harlem,2767369780,40.8066911,-73.9424929,641.6,food_drink,primary,4.0,10894.0,6.0,244.2,122.2,234.4,1.0,0.0,
harlem,10969598287,40.8151323,-73.940449,643.1,retail,secondary,2.0,2025.0,19.7,158.8,195.9,121.6,1.0,0.0,
harlem,5266906129,40.8064034,-73.9498758,643.9,food_drink,residential,,2384.0,23.1,342.9,132.1,149.4,0.1901140684410646,0.8098859315589354,
harlem,2767633739,40.8130784,-73.9390136,651.1,health,tertiary,4.0,4996.0,190.0,148.3,292.6,69.9,1.0,0.0,
harlem,8014564676,40.8079335,-73.9525508,652.3,retail,secondary,4.0,2500.0,139.8,177.5,180.3,53.9,0.1290322580645161,0.8709677419354839,
harlem,7259558972,40.8094423,-73.9537567,656.2,food_drink,residential,,2473.0,98.1,164.3,137.6,40.5,0.4157636475158454,0.5842363524841546,
harlem,3661038149,40.8064239,-73.9426763,659.4,retail,primary,4.0,4363.0,16.3,242.4,102.1,226.3,0.4033415233415233,0.5966584766584767,
harlem,3661038148,40.8064025,-73.9426421,662.9,food_drink,primary,4.0,4363.0,17.7,246.0,104.9,229.8,0.4033415233415233,0.5966584766584767,
harlem,368052784,40.8166549,-73.9422704,665.3,leisure_entertainment,residential,,29988.0,152.9,374.8,208.0,118.0,0.3466800591431726,0.6533199408568273,
harlem,7048004285,40.805587,-73.9475248,674.2,food_drink,secondary,2.0,2073.0,24.1,284.8,87.8,117.3,0.2434350603264726,0.7565649396735273,
harlem,11984361757,40.8080665,-73.9531637,684.8,retail,secondary,2.0,23521.0,97.7,197.2,190.3,96.2,0.1448050111619902,0.8551949888380097,
harlem,6662700185,40.8075404,-73.9526453,686.5,leisure_entertainment,residential,,1976.0,164.4,219.9,149.3,91.6,0.066946218733239,0.933053781266761,
harlem,6112147957,40.8067644,-73.9413357,691.4,retail,residential,,1873.0,73.3,235.0,163.0,197.9,0.0,1.0,
harlem,271893713,40.812055,-73.9547173,693.4,retail,primary,4.0,8100.0,80.2,150.3,108.5,84.9,0.0942981077513044,0.9057018922486956,
harlem,10969603645,40.815615,-73.9401039,699.3,retail,residential,,1875.0,44.4,172.4,158.6,98.1,0.1800504141159524,0.8199495858840475,
harlem,7259558970,40.807773,-73.9531593,703.7,food_drink,residential,,2500.0,114.2,221.3,197.9,106.8,0.1492210747418169,0.8507789252581831,
harlem,5266905082,40.8052132,-73.9476498,716.7,food_drink,residential,,7569.0,61.2,323.0,110.2,159.7,0.1585517022687307,0.8414482977312693,
harlem,562540012,40.8144044,-73.9388249,717.3,health,residential,,260689.0,138.5,0.0,146.5,86.7,1.0,0.0,
harlem,9902852319,40.8122183,-73.9549914,717.9,food_drink,primary,4.0,14500.0,106.7,178.4,121.7,110.6,0.1460977430655257,0.8539022569344742,
