cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,shop_type_entropy,brand_ratio
r0022_c0033,40.7166567,-73.9869113,Mixed-Use,6,1200.0,0.1481,20.6,1989.0,1133252.0,5,0.4355,0.0,266.67,1.7925,0.5
r0022_c0034,40.7166567,-73.9851269,Residential,7,622.22,0.0714,14.5,1975.0,806439.0,10,1.8147,0.0,0.0,0.0,0.0
r0022_c0035,40.7166567,-73.9833425,Mixed-Use,6,266.67,0.0,3.0,1961.0,96064.0,5,1.5988,0.0,44.44,-0.0,0.0
r0023_c0019,40.718008,-74.0118928,Residential,3,6355.56,0.0,2.0,1828.0,8820.0,3,-0.0,44.44,0.0,0.0,0.0
r0023_c0020,40.718008,-74.0101084,Mixed-Use,38,2800.0,0.1429,5.7,1882.0,686960.0,39,1.54,44.44,533.33,2.7925,0.0
r0023_c0021,40.718008,-74.008324,Mixed-Use,16,311.11,0.1429,7.6,1906.0,1147338.0,19,2.0679,44.44,44.44,-0.0,1.0
r0023_c0022,40.718008,-74.0065396,Mixed-Use,25,1200.0,0.0741,8.4,1911.0,1279567.0,27,2.3433,44.44,177.78,2.0,0.25
r0023_c0023,40.718008,-74.0047552,Mixed-Use,47,933.33,0.2381,5.4,1869.0,814022.0,46,1.3413,177.78,88.89,1.0,0.0
r0023_c0024,40.718008,-74.0029708,Mixed-Use,32,1511.11,0.0294,7.2,1886.0,1133406.0,33,1.58,533.33,222.22,2.3219,0.0
r0023_c0025,40.718008,-74.0011864,Commercial,29,2577.78,0.2241,6.2,1921.0,744259.0,29,1.5035,133.33,800.0,3.4613,0.0556
r0023_c0026,40.718008,-73.9994021,Commercial,31,2622.22,0.1356,5.3,1921.0,462236.0,29,1.8218,177.78,800.0,2.8855,0.0
r0023_c0027,40.718008,-73.9976177,Mixed-Use,56,3333.33,0.36,5.2,1916.0,790445.0,72,1.1278,44.44,1866.67,4.2408,0.0952
r0023_c0028,40.718008,-73.9958333,Mixed-Use,40,2933.33,0.2273,5.2,1913.0,771953.0,45,1.1453,88.89,1733.33,3.9898,0.0
r0023_c0029,40.718008,-73.9940489,Mixed-Use,35,2888.89,0.2923,4.7,1909.0,400041.0,36,1.3725,44.44,666.67,3.3736,0.0
r0023_c0030,40.718008,-73.9922645,Mixed-Use,55,2577.78,0.4138,4.6,1912.0,556176.0,57,1.0002,0.0,977.78,4.2776,0.0455
r0023_c0031,40.718008,-73.9904801,Mixed-Use,44,2800.0,0.3333,5.3,1909.0,507081.0,47,0.8822,88.89,1155.56,3.083,0.0
r0023_c0032,40.718008,-73.9886957,Mixed-Use,12,2355.56,0.4906,6.8,1934.0,577651.0,14,0.6233,44.44,755.56,3.2928,0.0
r0023_c0033,40.718008,-73.9869113,Mixed-Use,11,888.89,0.25,5.5,1942.0,429807.0,11,1.3415,44.44,355.56,2.1556,0.375
r0023_c0034,40.718008,-73.9851269,Mixed-Use,31,1155.56,0.3462,4.9,1924.0,347952.0,32,1.944,44.44,400.0,2.7255,0.2222
r0023_c0035,40.718008,-73.9833425,Institutional,16,800.0,0.1111,6.0,1933.0,618123.0,17,1.5901,44.44,222.22,1.9219,0.0
r0023_c0039,40.718008,-73.9762049,Residential,3,1688.89,0.0,5.5,1918.0,171480.0,2,1.0125,0.0,0.0,0.0,0.0
r0024_c0020,40.7193594,-74.0101084,Mixed-Use,29,3422.22,0.0779,6.4,1899.0,2535513.0,38,1.0147,0.0,177.78,2.0,0.0
r0024_c0021,40.7193594,-74.008324,Residential,31,711.11,0.25,6.9,1892.0,894242.0,32,2.0336,0.0,311.11,2.5216,0.0
r0024_c0022,40.7193594,-74.0065396,Mixed-Use,28,1911.11,0.3488,6.1,1896.0,651973.0,28,1.8639,88.89,133.33,1.585,0.3333
r0024_c0023,40.7193594,-74.0047552,Commercial,32,1644.44,0.2162,5.7,1891.0,1608136.0,33,1.9005,88.89,88.89,1.0,0.0
r0024_c0024,40.7193594,-74.0029708,Mixed-Use,45,1288.89,0.2069,5.5,1880.0,858437.0,45,1.6603,177.78,311.11,2.5216,0.1429
r0024_c0025,40.7193594,-74.0011864,Commercial,32,2088.89,0.1277,5.0,1874.0,656463.0,34,1.3388,222.22,1022.22,2.7296,0.0
r0024_c0026,40.7193594,-73.9994021,Commercial,28,2088.89,0.234,7.3,1920.0,909439.0,29,1.4013,177.78,622.22,3.3788,0.0
